CustomerID,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
CUST0001,Male,56,4,0.0,4,0,0,40282.42,1
CUST0003,Female,47,6,1154.97,1,0,1,99514.91,1
CUST0004,Male,42,1,0.0,2,1,1,146588.22,0
CUST0005,Male,64,3,77109.94,4,0,0,131792.25,0
CUST0006,Male,26,7,0.0,4,1,1,70104.15,1
CUST0007,Male,19,4,48964.07,3,1,0,128315.34,1
CUST0008,Male,34,4,37264.98,2,1,1,47032.42,0
CUST0009,Female,46,2,155251.43,2,1,1,97727.0,0
CUST0010,Male,25,7,104646.02,4,0,1,117151.61,0
CUST0011,Female,41,10,193085.81,4,0,0,58515.56,1
CUST0012,Male,42,7,0.0,4,1,1,21830.38,1
CUST0013,Male,25,3,0.0,1,1,0,104640.01,0
CUST0014,Male,26,8,0.0,4,0,0,106949.36,1
CUST0016,Male,22,10,47961.0,3,0,0,112386.18,1
CUST0017,Female,30,3,0.0,1,1,0,86114.19,0
CUST0018,Male,40,7,0.0,1,1,0,30007.39,1
CUST0019,Female,39,2,125246.46,1,0,1,79349.49,0
CUST0020,Female,37,10,0.0,3,1,0,55377.19,1
CUST0021,Male,69,9,61651.47,4,0,0,83027.9,0
CUST0022,Male,59,8,188639.03,4,1,1,111392.46,0
CUST0024,Female,34,1,195346.38,2,0,0,64859.26,0
CUST0025,Female,19,5,98401.1,2,1,0,107377.62,0
CUST0026,Male,34,6,74188.84,2,1,1,89650.71,1
CUST0027,Male,50,9,64835.23,4,0,0,96816.08,0
CUST0028,Female,36,10,0.0,4,1,0,42667.64,1
CUST0029,Male,56,2,0.0,4,0,0,47179.31,1
CUST0030,Male,59,3,46481.45,2,1,0,87162.67,1
CUST0031,Female,18,5,0.0,3,0,0,65397.24,0
CUST0032,Male,20,4,177530.2,1,1,1,30938.2,1
CUST0033,Female,55,8,0.0,10,1,0,106255.23,1
CUST0034,Female,63,2,0.0,4,0,0,42870.28,1
CUST0035,Female,31,5,36585.72,4,1,0,113722.19,1
CUST0036,Male,65,3,127630.19,2,1,1,147256.07,0
CUST0037,Female,25,2,0.0,4,0,1,132341.78,0
CUST0038,Male,65,3,114828.84,1,1,0,149291.57,1
CUST0039,Female,63,5,176815.31,1,0,1,62997.54,0
CUST0040,Male,48,3,196085.99,3,0,0,44818.43,1
CUST0041,Female,20,2,0.0,2,1,0,94107.95,1
CUST0042,Female,49,6,0.0,3,1,1,61931.6,0
CUST0044,Male,30,10,2031.79,1,1,0,29222.32,1
CUST0045,Male,31,3,68261.04,2,1,1,95176.42,0
CUST0047,Female,23,6,0.0,1,1,0,55300.58,1
CUST0048,Male,56,4,168562.59,4,1,0,110936.59,1
CUST0049,Male,33,2,103743.77,3,0,1,55208.19,0
CUST0050,Male,43,5,37682.4,3,0,0,109504.99,1
CUST0051,Female,18,2,48717.68,4,0,1,141499.82,0
CUST0052,Female,56,5,0.0,3,1,1,66276.45,0
